Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,nom,url_end,type1,min1,med2,max3,type2,min1.1,med2.1,max3.1,type3,min1.2,med2.2,max3.2
40068,CASSEN,40380,CASSEN,cassen,cassen-40380,,1 059,1 582,1 819,,,,,,,,
40070,CASTANDET,40270,CASTANDET,castandet,castandet-40270,,1 193,1 326,1 525,,,,,,,,
40074,CASTEL SARRAZIN,40330,CASTEL SARRAZIN,castel-sarrazin,castel-sarrazin-40330,,600,1 200,1 386,,,,,,,,
40079,CAZALIS,40700,CAZALIS,cazalis,cazalis-40700,,1 117,1 241,1 427,,,,,,,,
40086,COUDURES,40500,COUDURES,coudures,coudures-40500,,1 208,1 342,1 544,,,,,,,,
40091,DUHORT BACHEN,40800,DUHORT BACHEN,duhort-bachen,duhort-bachen-40800,,902,1 203,1 804,,1 039,1 385,2 078,,,,
40092,DUMES,40500,DUMES,dumes,dumes-40500,,1 060,1 414,2 121,,,,,,,,
40101,GAAS,40350,GAAS,gaas,gaas-40350,,1 170,1 609,1 850,,,,,,,,
40104,GAMARDE LES BAINS,40380,GAMARDE LES BAINS,gamarde-les-bains,gamarde-les-bains-40380,,978,1 462,2 022,,,,,,,,
40109,GAUJACQ,40330,GAUJACQ,gaujacq,gaujacq-40330,,774,1 256,1 444,,,,,,,,
40115,GOUSSE,40465,GOUSSE,gousse,gousse-40465,,1 188,1 451,1 669,,,,,,,,
40119,HAGETMAU,40700,HAGETMAU,hagetmau,hagetmau-40700,,647,1 250,1 630,,576,1 113,1 451,,,,
40121,HAURIET,40250,HAURIET,hauriet,hauriet-40250,,879,1 173,1 759,,,,,,,,
40127,HONTANX,40190,HONTANX,hontanx,hontanx-40190,,1 112,1 235,2 162,,,,,,,,
40129,JOSSE,40230,JOSSE,josse,josse-40230,,1 279,1 943,2 270,,1 394,2 117,2 474,,,,
40133,LABENNE,40530,LABENNE,labenne,labenne-40530,,1 951,2 804,3 378,,1 956,2 810,3 386,,,,
40154,LEVIGNACQ,40170,LEVIGNACQ,levignacq,levignacq-40170,,1 369,1 754,2 017,,1 665,2 133,2 453,,,,
40161,LUBBON,40240,LUBBON,lubbon,lubbon-40240,,846,1 207,1 389,,,,,,,,
40162,LUCBARDEZ ET BARGUES,40090,LUCBARDEZ ET BARGUES,lucbardez-et-bargues,lucbardez-et-bargues-40090,,1 318,1 464,1 684,,,,,,,,
40163,LUE,40210,LUE,lue,lue-40210,,967,1 656,2 272,,1 084,1 857,2 548,,,,
40165,LUGLON,40630,LUGLON,luglon,luglon-40630,,889,1 582,2 147,,,,,,,,
40166,LUSSAGNET,40270,LUSSAGNET,lussagnet,lussagnet-40270,,1 022,1 136,1 307,,,,,,,,
40171,MANO,40410,MANO,mano,mano-40410,,1 216,1 767,2 032,,,,,,,,
40176,MAUVEZIN D ARMAGNAC,40240,MAUVEZIN D ARMAGNAC,mauvezin-d-armagnac,mauvezin-d-armagnac-40240,,902,1 202,1 804,,,,,,,,
40178,MAZEROLLES,40090,MAZEROLLES,mazerolles,mazerolles-40090,,,,,,,,,,,,
40183,MIMBASTE,40350,MIMBASTE,mimbaste,mimbaste-40350,,907,1 363,1 784,,,,,,,,
40186,MISSON,40290,MISSON,misson,misson-40290,,714,1 354,1 910,,,,,,,,
40187,MOLIETS ET MAA,40660,MOLIETS ET MAA,moliets-et-maa,moliets-et-maa-40660,,1 958,3 099,4 036,,1 801,2 851,3 712,,,,
79173,MAZIERES SUR BERONNE,79500,MAZIERES SUR BERONNE,mazieres-sur-beronne,mazieres-sur-beronne-79500,,853,1 144,2 002,,,,,,,,
79174,MELLE,79500,MELLE,melle,melle-79500,,540,1 014,1 635,,434,814,1 313,,,,
79184,LA MOTHE ST HERAY,79800,LA MOTHE ST HERAY,la mothe-saint-heray,la-mothe-saint-heray-79800,,588,935,1 426,,434,691,1 053,,,,
79191,NIORT,79000,NIORT,niort,niort-79000,,1 011,1 348,2 022,,971,1 295,1 943,,,,
79196,OIRON,79100,OIRON,oiron,oiron-79100,,447,829,1 261,,,,,,,,
79196,OIRON,79100,OIRON,oiron,oiron-79100,,447,829,1 261,,,,,,,,
79198,PAIZAY LE CHAPT,79170,PAIZAY LE CHAPT,paizay-le-chapt,paizay-le-chapt-79170,,608,833,959,,,,,,,,
79199,PAIZAY LE TORT,79500,PAIZAY LE TORT,paizay-le-tort,paizay-le-tort-79500,,721,1 185,1 452,,,,,,,,
79203,PAS DE JEU,79100,PAS DE JEU,pas-de-jeu,pas-de-jeu-79100,,712,799,1 399,,,,,,,,
79208,LA PEYRATTE,79200,LA PEYRATTE,la peyratte,la-peyratte-79200,,669,1 264,2 137,,,,,,,,
79211,PIOUSSAY,79110,PIOUSSAY,pioussay,pioussay-79110,,648,859,1 317,,,,,,,,
79213,POMPAIRE,79200,POMPAIRE,pompaire,pompaire-79200,,689,1 274,1 610,,,,,,,,
79215,POUGNE HERISSON,79130,POUGNE HERISSON,pougne-herisson,pougne-herisson-79130,,489,979,1 550,,,,,,,,
79218,PRESSIGNY,79390,PRESSIGNY,pressigny,pressigny-79390,,624,816,1 296,,,,,,,,
79229,LA ROCHENARD,79270,LA ROCHENARD,la rochenard,la-rochenard-79270,,827,1 270,2 160,,,,,,,,
79230,ROM,79120,ROM,rom,rom-79120,,758,998,1 392,,,,,,,,
79231,ROMANS,79260,ROMANS,romans,romans-79260,,824,1 229,1 753,,,,,,,,
79242,VOULMENTIN,79150,VOULMENTIN,voulmentin,voulmentin-79150,,,,,,,,,,,,
79247,ST ETIENNE LA CIGOGNE,79360,ST ETIENNE LA CIGOGNE,saint-etienne-la-cigogne,saint-etienne-la-cigogne-79360,,850,948,1 319,,,,,,,,
79253,ST GEORGES DE NOISNE,79400,ST GEORGES DE NOISNE,saint-georges-de-noisne,saint-georges-de-noisne-79400,,779,1 145,1 326,,,,,,,,
79263,ST LAURS,79160,ST LAURS,saint-laurs,saint-laurs-79160,,567,988,1 338,,,,,,,,
79264,ST LEGER DE LA MARTINIERE,79500,ST LEGER DE LA MARTINIERE,saint-leger-de-la-martiniere,saint-leger-de-la-martiniere-79500,,613,938,1 213,,,,,,,,
79271,ST MARC LA LANDE,79310,ST MARC LA LANDE,saint-marc-la-lande,saint-marc-la-lande-79310,,556,992,1 500,,,,,,,,
79281,ST MAXIRE,79410,ST MAXIRE,saint-maxire,saint-maxire-79410,,791,1 271,1 547,,,,,,,,
79294,ST ROMANS DES CHAMPS,79230,ST ROMANS DES CHAMPS,saint-romans-des-champs,saint-romans-des-champs-79230,,817,1 089,1 634,,,,,,,,
79298,ST SYMPHORIEN,79270,ST SYMPHORIEN,saint-symphorien,saint-symphorien-79270,,772,1 545,1 977,,,,,,,,
